$ ./asha-support 60_C0_BF_2F_6E_A0
loop: Initializing
Connecting to 60_C0_BF_2F_6E_A0
Connected to 60_C0_BF_2F_6E_A0
Device: /org/bluez/hci0/dev_60_C0_BF_2F_6E_A0. /org/bluez/hci0/dev_60_C0_BF_2F_6E_A0/service0021
Size: 2
Sent
Size: 17
Data (uint8): 1 0 98 3 34 51 68 85 102 119 1 0 0 0 0 2 0 
Data (hex): 1 0 62 3 22 33 44 55 66 77 1 0 0 0 0 2 0 
Version: 1
Device Capabilities(side): 0
Device Capabilities(type): 0
HiSync ID: 144115188075951974
Feature map: 0
Render delay: 25089
Reserved: 0
Supported Codecs: 0
Sent
Done.
L2CAP: Created socket 60_C0_BF_2F_6E_A0:168
L2CAP socket bound
Setting sockopts
Set recv mtu
Unable to set send mtu. Operation not permitted (1)
L2CAP: Connected to 60:C0:BF:2F:6E:A0:168
socket: 5
Writing to /org/bluez/hci0/dev_60_C0_BF_2F_6E_A0/service0021/char0025
AudioControlPoint Written
     0 | 26517243972227 | Wrote 161 bytes
sleep(19976 μs) |      1 | 26517264127595 | Wrote 161 bytes
sleep(19813 μs) |      2 | 26517284122556 | Wrote 161 bytes
sleep(19814 μs) |      3 | 26517304091944 | Wrote 161 bytes
sleep(19851 μs) |      4 | 26517324128413 | Wrote 161 bytes
sleep(19814 μs) |      5 | 26517344102256 | Wrote 161 bytes
sleep(19831 μs) |      6 | 26517364122379 | Wrote 161 bytes
sleep(19806 μs) |      7 | 26517384032163 | Wrote 161 bytes
sleep(19918 μs) |      8 | 26517404074490 | Wrote 161 bytes
sleep(19874 μs) |      9 | 26517424091371 | Wrote 161 bytes
sleep(19849 μs) |     10 | 26517444067685 | Wrote 161 bytes
sleep(19866 μs) |     11 | 26517464074346 | Wrote 161 bytes
sleep(19859 μs) |     12 | 26517484130421 | Wrote 161 bytes
sleep(19803 μs) |     13 | 26517504146266 | Wrote 161 bytes
sleep(19786 μs) |     14 | 26517524142587 | Wrote 161 bytes
sleep(19786 μs) |     15 | 26517544097389 | Wrote 161 bytes
sleep(19829 μs) |     16 | 26517564143409 | Wrote 161 bytes
sleep(19787 μs) |     17 | 26517584139445 | Wrote 161 bytes
sleep(19793 μs) |     18 | 26517604131733 | Wrote 161 bytes
sleep(19802 μs) |     19 | 26517624134337 | Wrote 161 bytes
sleep(19798 μs) |     20 | 26517644137396 | Wrote 161 bytes
sleep(19794 μs) |     21 | 26517664159003 | Wrote 161 bytes
sleep(19772 μs) |     22 | 26517684135192 | Wrote 161 bytes
sleep(19799 μs) |     23 | 26517704065333 | Wrote 161 bytes
sleep(19870 μs) |     24 | 26517724137736 | Wrote 161 bytes
sleep(19793 μs) |     25 | 26517744150726 | Wrote 161 bytes
sleep(19780 μs) |     26 | 26517764137717 | Wrote 161 bytes
sleep(19795 μs) |     27 | 26517784124377 | Wrote 161 bytes
sleep(19812 μs) |     28 | 26517804090668 | Wrote 161 bytes
sleep(19850 μs) |     29 | 26517824134263 | Wrote 161 bytes
sleep(19810 μs) |     30 | 26517844142330 | Wrote 161 bytes
sleep(19802 μs) |     31 | 26517864073183 | Wrote 161 bytes
sleep(19860 μs) |     32 | 26517884117753 | Wrote 161 bytes
sleep(19805 μs) |     33 | 26517904122622 | Wrote 161 bytes
sleep(19812 μs) |     34 | 26517924057200 | Wrote 161 bytes
sleep(19879 μs) |     35 | 26517944123997 | Wrote 161 bytes
sleep(19804 μs) |     36 | 26517964141998 | Wrote 161 bytes
sleep(19787 μs) |     37 | 26517984136479 | Wrote 161 bytes
sleep(19793 μs) |     38 | 26518004066420 | Wrote 161 bytes
sleep(19864 μs) |     39 | 26518024071922 | Wrote 161 bytes
sleep(19831 μs) |     40 | 26518044149877 | Wrote 161 bytes
sleep(19770 μs) |     41 | 26518064156420 | Wrote 161 bytes
sleep(19772 μs) |     42 | 26518084264780 | Wrote 161 bytes
sleep(19662 μs) |     43 | 26518104096111 | Wrote 161 bytes
sleep(19830 μs) |     44 | 26518124045142 | Wrote 161 bytes
sleep(19908 μs) |     45 | 26518144142874 | Wrote 161 bytes
sleep(19805 μs) |     46 | 26518164242141 | Wrote 161 bytes
sleep(19700 μs) |     47 | 26518184129889 | Wrote 161 bytes
sleep(19803 μs) |     48 | 26518204260006 | Wrote 161 bytes
sleep(19671 μs) |     49 | 26518224188499 | Wrote 161 bytes
sleep(19745 μs) |     50 | 26518244075451 | Wrote 161 bytes
sleep(19860 μs) |     51 | 26518264122007 | Wrote 161 bytes
sleep(19812 μs) |     52 | 26518284104574 | Wrote 161 bytes
sleep(19833 μs) |     53 | 26518304085633 | Wrote 161 bytes
sleep(19863 μs) |     54 | 26518324122726 | Wrote 161 bytes
sleep(19826 μs) |     55 | 26518344114556 | Wrote 161 bytes
sleep(19831 μs) |     56 | 26518364054031 | Wrote 161 bytes
sleep(19881 μs) |     57 | 26518384139612 | Wrote 161 bytes
sleep(19793 μs) |     58 | 26518404138287 | Wrote 161 bytes
sleep(19794 μs) |     59 | 26518424097395 | Wrote 161 bytes
sleep(19835 μs) |     60 | 26518444155929 | Wrote 161 bytes
sleep(19779 μs) |     61 | 26518464151172 | Wrote 161 bytes
sleep(19781 μs) |     62 | 26518484122640 | Wrote 161 bytes
sleep(19810 μs) |     63 | 26518504085619 | Wrote 161 bytes
sleep(19848 μs) |     64 | 26518524153918 | Wrote 161 bytes
sleep(19782 μs) |     65 | 26518544124758 | Wrote 161 bytes
sleep(19807 μs) |     66 | 26518564135011 | Wrote 161 bytes
sleep(19799 μs) |     67 | 26518584124407 | Wrote 161 bytes
sleep(19809 μs) |     68 | 26518604151057 | Wrote 161 bytes
sleep(19780 μs) |     69 | 26518624139901 | Wrote 161 bytes
sleep(19792 μs) |     70 | 26518644166145 | Wrote 161 bytes
sleep(19767 μs) |     71 | 26518664120512 | Wrote 161 bytes
sleep(19813 μs) |     72 | 26518684245112 | Wrote 161 bytes
sleep(19686 μs) |     73 | 26518704136200 | Wrote 161 bytes
sleep(19798 μs) |     74 | 26518724127004 | Wrote 161 bytes
sleep(19807 μs) |     75 | 26518744072706 | Wrote 161 bytes
sleep(19856 μs) |     76 | 26518764036960 | Wrote 161 bytes
sleep(19911 μs) |     77 | 26518784129717 | Wrote 161 bytes
sleep(19814 μs) |     78 | 26518804090635 | Wrote 161 bytes
sleep(19853 μs) |     79 | 26518824049522 | Wrote 161 bytes
sleep(19892 μs) |     80 | 26518844110615 | Wrote 161 bytes
sleep(19822 μs) |     81 | 26518864164104 | Wrote 161 bytes
sleep(19768 μs) |     82 | 26518884137269 | Wrote 161 bytes
sleep(19797 μs) |     83 | 26518904147724 | Wrote 161 bytes
sleep(19786 μs) |     84 | 26518924125613 | Wrote 161 bytes
sleep(19806 μs) |     85 | 26518944141097 | Wrote 161 bytes
sleep(19792 μs) |     86 | 26518964136460 | Wrote 161 bytes
sleep(19797 μs) |     87 | 26518984129148 | Wrote 161 bytes
sleep(19804 μs) |     88 | 26519004130923 | Wrote 161 bytes
sleep(19801 μs) |     89 | 26519024264366 | Wrote 161 bytes
sleep(19667 μs) |     90 | 26519044129858 | Wrote 161 bytes
sleep(19804 μs) |     91 | 26519064113735 | Wrote 161 bytes
sleep(19819 μs) |     92 | 26519084136585 | Wrote 161 bytes
sleep(19796 μs) |     93 | 26519104115412 | Wrote 161 bytes
sleep(19821 μs) |     94 | 26519124122524 | Wrote 161 bytes
sleep(19817 μs) |     95 | 26519144079487 | Wrote 161 bytes
sleep(19854 μs) |     96 | 26519164141516 | Wrote 161 bytes
sleep(19792 μs) |     97 | 26519184155349 | Wrote 161 bytes
sleep(19777 μs) |     98 | 26519204147685 | Wrote 161 bytes
sleep(19787 μs) |     99 | 26519224125299 | Wrote 161 bytes
sleep(19809 μs) |    100 | 26519244066503 | Wrote 161 bytes
sleep(19869 μs) |    101 | 26519264111124 | Wrote 161 bytes
sleep(19822 μs) |    102 | 26519284264603 | Wrote 161 bytes
sleep(19666 μs) |    103 | 26519304101115 | Wrote 161 bytes
sleep(19837 μs) |    104 | 26519324092626 | Wrote 161 bytes
sleep(19848 μs) |    105 | 26519344122684 | Wrote 161 bytes
sleep(19825 μs) |    106 | 26519364125596 | Wrote 161 bytes
sleep(19819 μs) |    107 | 26519384119669 | Wrote 161 bytes
sleep(19814 μs) |    108 | 26519404150385 | Wrote 161 bytes
sleep(19781 μs) |    109 | 26519424071429 | Wrote 161 bytes
sleep(19863 μs) |    110 | 26519444134414 | Wrote 161 bytes
sleep(19801 μs) |    111 | 26519464122633 | Wrote 161 bytes
sleep(19811 μs) |    112 | 26519484150418 | Wrote 161 bytes
sleep(19785 μs) |    113 | 26519504087073 | Wrote 161 bytes
sleep(19842 μs) |    114 | 26519524109334 | Wrote 161 bytes
sleep(19824 μs) |    115 | 26519544135698 | Wrote 161 bytes
sleep(19796 μs) |    116 | 26519564158433 | Wrote 161 bytes
sleep(19767 μs) |    117 | 26519584155461 | Wrote 161 bytes
sleep(19771 μs) |    118 | 26519604135345 | Wrote 161 bytes
sleep(19797 μs) |    119 | 26519624124762 | Wrote 161 bytes
sleep(19808 μs) |    120 | 26519644254323 | Wrote 161 bytes
sleep(19676 μs) |    121 | 26519664148993 | Wrote 161 bytes
sleep(19781 μs) |    122 | 26519684247375 | Wrote 161 bytes
sleep(19683 μs) |    123 | 26519704114036 | Wrote 161 bytes
sleep(19818 μs) |    124 | 26519724141582 | Wrote 161 bytes
sleep(19789 μs) |    125 | 26519744158686 | Wrote 161 bytes
sleep(19773 μs) |    126 | 26519764097300 | Wrote 161 bytes
sleep(19827 μs) |    127 | 26519784141381 | Wrote 161 bytes
sleep(19791 μs) |    128 | 26519804108558 | Wrote 161 bytes
sleep(19823 μs) |    129 | 26519824194459 | Wrote 161 bytes
sleep(19755 μs) |    130 | 26519844157530 | Wrote 161 bytes
sleep(19791 μs) |    131 | 26519864042867 | Wrote 161 bytes
sleep(19901 μs) |    132 | 26519884142425 | Wrote 161 bytes
