loop: Initializing
Connecting to 60_C0_BF_2F_6E_A0
Connected to 60_C0_BF_2F_6E_A0
Device: /org/bluez/hci0/dev_60_C0_BF_2F_6E_A0. /org/bluez/hci0/dev_60_C0_BF_2F_6E_A0/service0021
Size: 2
Sent
Size: 17
Data (uint8): 1 0 98 3 34 51 68 85 102 119 1 0 0 0 0 2 0 
Data (hex): 1 0 62 3 22 33 44 55 66 77 1 0 0 0 0 2 0 
Version: 1
Device Capabilities(side): 0
Device Capabilities(type): 0
HiSync ID: 144115188075951974
Feature map: 0
Render delay: 25089
Reserved: 0
Supported Codecs: 0
Sent
Done.
L2CAP: Created socket 60_C0_BF_2F_6E_A0:168
L2CAP socket bound
Setting sockopts
Set recv mtu
Unable to set send mtu. Operation not permitted (1)
L2CAP: Connected to 60:C0:BF:2F:6E:A0:168
socket: 5
Writing to /org/bluez/hci0/dev_60_C0_BF_2F_6E_A0/service0021/char0025
AudioControlPoint Written
     0 | 1337570387776 | Wrote 161 bytes
sleep(19969 μs) |      1 | 1337590554547 | Wrote 161 bytes
sleep(19800 μs) |      2 | 1337610488011 | Wrote 161 bytes
sleep(19869 μs) |      3 | 1337630529405 | Wrote 161 bytes
sleep(19827 μs) |      4 | 1337650486465 | Wrote 161 bytes
sleep(19869 μs) |      5 | 1337670435760 | Wrote 161 bytes
sleep(19923 μs) |      6 | 1337690531976 | Wrote 161 bytes
sleep(19828 μs) |      7 | 1337710463802 | Wrote 161 bytes
sleep(19893 μs) |      8 | 1337730466437 | Wrote 161 bytes
sleep(19895 μs) |      9 | 1337750430107 | Wrote 161 bytes
sleep(19931 μs) |     10 | 1337770510559 | Wrote 161 bytes
sleep(19848 μs) |     11 | 1337790499033 | Wrote 161 bytes
sleep(19859 μs) |     12 | 1337810471105 | Wrote 161 bytes
sleep(19886 μs) |     13 | 1337830485646 | Wrote 161 bytes
sleep(19869 μs) |     14 | 1337850585941 | Wrote 161 bytes
sleep(19774 μs) |     15 | 1337870530178 | Wrote 161 bytes
sleep(19830 μs) |     16 | 1337890438050 | Wrote 161 bytes
sleep(19922 μs) |     17 | 1337910506760 | Wrote 161 bytes
